Index,Name,Brand,Category,Price,Currency,Stock,EAN,Color,Size,Availability,Internal ID
1,Thermostat Drone Heater,Bradford-Yu,Kitchen Appliances,74,USD,139,8.61979E+12,Orchid,Medium,backorder,38
2,Ultra Speaker Iron Grill Advanced One,Douglas Group,Fitness Equipment,510,USD,351,3.05722E+12,MediumSeaGreen,Small,backorder,27
3,Watch Headphones Kettle,Landry-Austin,Beauty & Personal Care,254,USD,409,9.82525E+12,Lavender,XXL,pre_order,2
4,Portable Toaster Clock Monitor Silent,"Odom, Norton and Foster",Makeup,69,USD,119,9.49081E+12,Pink,XL,in_stock,94
5,Pro Toaster Oven,"Fowler, Mendoza and Mcdaniel",Automotive,525,USD,727,4.72665E+12,LightCoral,XL,in_stock,95
6,Mini Speakerphone Mixer,Burton-Gould,Team Sports,413,USD,566,9.01645E+12,OliveDrab,Medium,out_of_stock,44
7,Eco Cooler Printer Speaker Prime Prime,"Soto, Raymond and Doyle",Health & Wellness,621,USD,245,4.11609E+12,Moccasin,Extra Large,limited_stock,1
8,Webcam Trimmer Projector,"Padilla, Dunn and Pruitt",Laptops & Computers,414,USD,559,4.97051E+12,HoneyDew,XL,limited_stock,27
9,Silent Headphones Stove Wireless Air Clean,Hughes and Sons,Home & Kitchen,858,USD,525,4.34929E+12,Chocolate,5x7 in,discontinued,16
10,Wireless Charger Air Premium Ultra,Mcbride-Wyatt,Health & Wellness,153,USD,550,1.30118E+12,MediumPurple,S,in_stock,4
11,Portable Fan Monitor Toaster Pro Smart Air,"Wilkins, Horne and Farrell",Health & Wellness,738,USD,417,5.52407E+12,LightPink,12x18 in,limited_stock,44
12,Mini Iron Drone,"Miranda, Lucero and Blevins",Shoes & Footwear,367,USD,511,1.84235E+12,WhiteSmoke,S,in_stock,44
13,Smart Grill Tablet Fridge Sense,Marshall Group,Grooming Tools,867,USD,679,5.0998E+12,SaddleBrown,XL,discontinued,37
14,Portable Grill Air Edge,Tanner LLC,Clothing & Apparel,356,USD,904,1.60702E+12,DarkBlue,S,backorder,88
15,Premium Brush Scale Grill Plus Plus,Mathews and Sons,Smartwatches,439,USD,987,6.13054E+12,MintCream,M,out_of_stock,71
16,Vacuum Router Toaster,Stephenson PLC,Team Sports,245,USD,412,3.51269E+12,LightSeaGreen,L,out_of_stock,6
17,Digital Clock Lock Eco Premium Portable,Leonard LLC,Office Supplies,999,USD,14,1.28601E+12,SeaShell,XL,in_stock,83
18,Fast Watch Microphone Microphone,"Montes, Hickman and Stout",Haircare,868,USD,416,9.79221E+12,Fuchsia,M,limited_stock,66
19,Clean Dock Mixer Router,Matthews Ltd,Toys & Games,411,USD,202,8.63061E+12,Ivory,Large,discontinued,51
20,Cooker Brush,Contreras-Bonilla,Headphones & Earbuds,280,USD,124,4.04738E+12,Orchid,50x70 cm,limited_stock,39
21,Premium Cooler Premium Sense,Greene-Ayers,"Accessories (Bags, Hats, Belts)",448,USD,634,3.39997E+11,Magenta,M,in_stock,92
22,Digital Powerbank Rechargeable Wireless,Hanna Group,Health & Wellness,612,USD,413,5.05443E+12,SkyBlue,S,pre_order,38
23,Digital Drone Advanced,Quinn-Fields,Clothing & Apparel,517,USD,738,1.13978E+12,AliceBlue,Medium,discontinued,35
24,Automatic Thermostat Drone Heater,Livingston-Steele,Kitchen Appliances,182,USD,86,7.05032E+12,Lavender,XL,discontinued,75
25,Clean Webcam Powerbank Portable Compact,"Pearson, Hubbard and Woodward",Toys & Games,935,USD,415,8.58207E+12,MediumVioletRed,S,discontinued,14
26,Headphones,"Zavala, Pugh and Wiley",Team Sports,35,USD,527,8.96772E+12,Salmon,Large,backorder,85
27,Fan Iron Cooker,Mcfarland-Buck,Health & Wellness,926,USD,848,5.11522E+12,SlateBlue,Large,limited_stock,16
28,Wireless Printer Fan Compact Plus,Kirby and Sons,Home & Kitchen,934,USD,479,4.94863E+12,SeaGreen,10x10 cm,out_of_stock,7
29,Ultra Projector Rechargeable,"Owen, Caldwell and Salazar",Books & Stationery,282,USD,953,4.82569E+11,Khaki,S,pre_order,12
30,Blender Toaster Camera,Montoya Group,Books & Stationery,90,USD,680,4.59554E+12,Sienna,Large,in_stock,72
31,Treadmill,"Franklin, Liu and Evans",Toys & Games,537,USD,646,3.19412E+12,DarkViolet,L,in_stock,93
32,Portable Webcam Powerbank Rechargeable Advanced,Harrison Ltd,Fitness Equipment,177,USD,710,3.36425E+12,Khaki,8x10 in,in_stock,24
33,Fan Phone,Kennedy-Weiss,Camping & Hiking,335,USD,921,7.30639E+11,SkyBlue,50x70 cm,pre_order,53
34,Pro Stove Eco Smart,"Joyce, Mcdonald and Maldonado",Cycling,663,USD,695,3.7841E+12,Crimson,XXL,discontinued,18
35,Charger,"Mills, Mendez and Waller",Fitness Equipment,596,USD,52,8.41427E+12,Green,L,discontinued,86
36,Fan Phone,Maldonado PLC,Laptops & Computers,385,USD,219,9.54317E+12,Orchid,10x10 cm,pre_order,36
37,Fan Powerbank,"Payne, Joseph and Ponce",Kids' Clothing,825,USD,93,8.77672E+11,DarkSlateGray,8x10 in,backorder,38
38,Premium Router Lamp,Roman and Sons,Home Decor,245,USD,243,3.03034E+12,SlateBlue,100x200 mm,in_stock,5
39,Smart Keyboard Toaster Monitor,Duarte Ltd,Cameras & Accessories,573,USD,671,5.82313E+12,DarkGoldenRod,Large,pre_order,98
40,Pro Iron Drone Ultra,Rogers Ltd,Shoes & Footwear,536,USD,188,1.17059E+12,GhostWhite,Medium,out_of_stock,53
41,Fan,"Shaffer, Bowers and Parrish",Books & Stationery,783,USD,56,6.86707E+12,Magenta,XS,backorder,48
42,Fast Cooler Prime Advanced,Hartman LLC,Team Sports,181,USD,117,1.91419E+12,LightSlateGray,M,pre_order,32
43,Advanced Webcam Printer,"Montoya, Barnes and Haley","Accessories (Bags, Hats, Belts)",914,USD,136,8.00402E+12,Cyan,12x18 in,in_stock,37
44,Premium Scooter,Cowan and Sons,Team Sports,486,USD,773,2.45946E+12,Aqua,12x18 in,in_stock,77
45,Eco Vacuum Iron Phone Clean One Max,"Beltran, Khan and Proctor",Office Supplies,20,USD,397,1.18574E+12,DarkOliveGreen,15x20 cm,in_stock,26
46,Clean Drone Heater Scanner Digital Eco Rechargeable,Mckee Ltd,Kids' Clothing,162,USD,322,7.46571E+12,ForestGreen,Extra Large,limited_stock,29
47,Portable Drone Heater Scanner Lite Premium,Roth-Maddox,Office Supplies,363,USD,850,1.7412E+12,PeachPuff,L,backorder,14
48,Ultra Brush,"Ware, Singh and Holloway",Makeup,818,USD,491,2.90233E+12,DarkViolet,5x7 in,discontinued,5
49,Charger Lock Oven,Sellers LLC,Health & Wellness,84,USD,947,1.25522E+12,MintCream,50x70 cm,backorder,80
50,Automatic Clock Lock Digital Touch,Hess-Daniel,Automotive,549,USD,303,8.03045E+12,PaleGreen,XS,out_of_stock,17
51,Cooker Cooler,Figueroa-Bowen,Shoes & Footwear,643,USD,744,7.46372E+12,DarkGoldenRod,L,limited_stock,94
52,Iron Heater,"Garcia, Salazar and Roberson",Headphones & Earbuds,459,USD,769,6.64915E+12,Gainsboro,Extra Large,in_stock,38
53,Advanced Powerbank Touch Max,"Price, Ford and Shaw",Office Supplies,273,USD,582,5.37536E+12,DarkSlateBlue,100x200 mm,backorder,85
54,Digital Projector Oven Thermostat Pro,Pena-Schultz,Laptops & Computers,306,USD,653,3.71385E+12,Red,L,backorder,83
55,Eco Grill Automatic,Burns-Chavez,Grooming Tools,976,USD,306,9.98853E+12,Cornsilk,Small,limited_stock,45
56,Smart Tablet Speaker Scooter,Dudley-Johnson,Smartphones,980,USD,984,8.26574E+12,PaleGreen,M,pre_order,63
57,Eco Toaster Oven Eco Compact Wireless,"Bonilla, Robbins and Hayes",Clothing & Apparel,565,USD,394,6.96402E+12,Cyan,L,in_stock,65
58,Premium Cooler Digital Max,Merritt-Maddox,Books & Stationery,887,USD,501,2.02277E+12,Lime,Medium,out_of_stock,3
59,Clean Camera Drone Fan One Max,Beasley-Valdez,Men's Clothing,466,USD,539,8.74596E+12,Salmon,12x18 in,out_of_stock,2
60,Fan Drone Monitor,Goodwin LLC,Health & Wellness,542,USD,7,4.04802E+12,PaleTurquoise,L,in_stock,3
61,Smart Heater Toaster Stove 360 Premium,Stephens-Keller,Cameras & Accessories,919,USD,536,1.79667E+12,White,8x10 in,backorder,25
